ID,DATE,TIME,TIMESTAMP,HOURSSINCELASTUPDATE,ACCUMULATEDHOURS,CASES,DEATHS
1,09/03/2020,04:30:00,1583699400,0.0,0.0,589,22
2,10/03/2020,05:30:00,1583789400,10.56,10.56,708,27
3,10/03/2020,23:35:00,1583854500,25.0,35.56,975,30
4,11/03/2020,04:25:00,1583871900,18.08,53.64,1010,31
5,11/03/2020,15:17:00,1583911020,4.83,58.47,1016,31
6,11/03/2020,23:35:00,1583940900,10.87,69.34,1301,38
7,12/03/2020,03:25:00,1583954700,8.3,77.64,1327,38
8,12/03/2020,11:37:00,1583984220,3.83,81.47,1336,38
9,12/03/2020,22:00:00,1584021600,8.2,89.67,1639,40
10,13/03/2020,00:05:00,1584029100,10.38,100.05,1715,41
11,13/03/2020,01:35:00,1584034500,2.08,102.13,1725,41
12,13/03/2020,03:45:00,1584042300,1.5,103.63,1747,41
13,13/03/2020,06:00:00,1584050400,2.17,105.8,1762,41
14,13/03/2020,15:25:00,1584084300,2.25,108.05,1832,41
15,13/03/2020,22:25:00,1584109500,9.42,117.47,2269,48
16,14/03/2020,02:40:00,1584124800,7.0,124.47,2291,50
17,14/03/2020,07:14:00,1584141240,4.25,128.72,2319,50
18,14/03/2020,16:45:00,1584175500,4.57,133.29,2499,51
19,14/03/2020,23:03:00,1584198180,9.52,142.81,2836,57
20,15/03/2020,05:00:00,1584219600,6.3,149.11,2982,60
21,15/03/2020,05:40:00,1584222000,5.95,155.06,2995,60
22,15/03/2020,07:05:00,1584227100,0.67,155.73,3043,60
23,15/03/2020,19:00:00,1584270000,1.42,157.15,3329,63
24,15/03/2020,20:05:00,1584273900,11.92,169.07,3400,63
25,15/03/2020,21:15:00,1584278100,1.08,170.15,3621,63
26,15/03/2020,22:15:00,1584281700,1.17,171.32,3502,63
27,16/03/2020,00:35:00,1584290100,1.0,172.32,3714,68
28,16/03/2020,02:48:00,1584298080,2.33,174.65,3777,69
29,16/03/2020,05:36:00,1584308160,2.22,176.87,3782,69
30,16/03/2020,08:29:00,1584318540,2.8,179.67,3802,69
31,16/03/2020,18:40:00,1584355200,2.88,182.55,4186,73
32,16/03/2020,22:40:00,1584369600,10.18,192.73,4597,86
33,17/03/2020,00:45:00,1584377100,4.0,196.73,4667,87
34,17/03/2020,02:40:00,1584384000,2.08,198.81,4704,91
